For Example 10, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0007, 0.0073, 0.0005, 0.0369, 0.0450, 0.0000, 0.0000, 0.0302, 0.0001, 0.0057, 0.0449, 0.4972, 0.0709, 0.0157, 0.9226, 0.0157, 0.5461, 0.1470, 0.0337, 0.0045, 0.0522, 0.0000, 0.0000, 0.0060, 0.0291, 0.0000, 0.0098, 0.0013, 0.0175, 0.0004, 0.0002, 0.0156]
For Example 11, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0124, 0.0182, 0.0073, 0.1716, 0.0000, 0.1388, 0.0126, 0.0664, 0.1810, 0.0634, 0.0000, 0.0242, 0.0668, 0.1026, 0.4149, 0.2533, 0.0588, 0.0234, 0.0012, 0.0036, 0.0013, 0.0989, 0.0866, 0.0973, 0.0537, 0.0176, 0.0235, 0.0923, 0.0018, 0.0047, 0.0096, 0.0099]
For Example 12, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0032, 0.0271, 0.0124, 0.4287, 0.3366, 0.0000, 0.0875, 0.1202, 0.0114, 0.3154, 0.0018, 0.0818, 0.0267, 0.0983, 0.0002, 0.2234, 0.2585, 0.1553, 0.0204, 0.1120, 0.0150, 0.0000, 0.0773, 0.1863, 0.0000, 0.0628, 0.0128, 0.0331, 0.0015, 0.0253, 0.0561, 0.0023]
For Example 13, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0043, 0.0543, 0.0098, 0.3241, 0.0465, 0.0985, 0.0478, 0.0001, 0.0425, 0.0274, 0.0607, 0.0010, 0.0285, 0.0000, 0.0197, 0.0449, 0.0000, 0.0123, 0.0008, 0.0740, 0.0388, 0.0102, 0.0236, 0.0001, 0.0011, 0.1331, 0.0615, 0.0079, 0.0001, 0.0259, 0.0392, 0.0032]
For Example 14, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0201, 0.0437, 0.0000, 0.0000, 0.0047, 0.1350, 0.0000, 0.0000, 0.0201, 0.0162, 0.0177, 0.0018, 0.0138, 0.1467, 0.2520, 0.3552, 0.0001, 0.0943, 0.2020, 0.1054, 0.0027, 0.0634, 0.0043, 0.0497, 0.1543, 0.0115, 0.0515, 0.0000, 0.0397, 0.0333, 0.0136, 0.0123]
For Example 15, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0026, 0.0696, 0.0075, 0.4049, 0.0873, 0.1720, 1.1560, 0.0771, 0.0004, 0.0809, 0.0000, 0.0822, 0.0168, 0.2422, 0.0002, 0.0009, 0.0297, 0.0913, 0.0103, 0.0568, 0.2388, 0.0146, 0.0504, 0.0000, 0.0001, 0.0573, 0.3007, 0.0122, 0.0906, 0.0020, 0.0000, 0.0044]
For Example 16, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0142, 0.0055, 0.0064, 1.4126, 0.2787, 0.0002, 0.0000, 0.0466, 0.0564, 1.2144, 1.4099, 0.2124, 0.0729, 0.8605, 0.0042, 0.5165, 0.0096, 0.0099, 0.7829, 0.0515, 0.2389, 0.1276, 0.0072, 0.0995, 0.0005, 0.0000, 0.1669, 0.0652, 0.2516, 0.0021, 0.0330, 0.0964]
For Example 17, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0060, 0.0297, 0.0806, 0.3859, 0.1129, 0.2602, 0.2374, 0.0171, 0.6955, 0.5189, 0.2153, 0.2749, 0.6157, 0.5335, 0.1091, 0.0528, 0.0057, 0.0180, 0.0556, 0.0388, 0.0068, 0.0357, 0.0695, 0.1242, 0.0000, 0.0272, 0.0005, 0.0461, 0.0081, 0.0378, 0.1258, 0.2083]
For Example 18, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0095, 0.0373, 0.0035, 0.0645, 0.0003, 0.0000, 0.0175, 0.0092, 0.0841, 0.0378, 0.0172, 0.0448, 0.1510, 0.0178, 0.0063, 0.0606, 0.0318, 0.1857, 0.0145, 0.0042, 0.0044, 0.0129, 0.0144, 0.0477, 0.0000, 0.0855, 0.1527, 0.0388, 0.0034, 0.0312, 0.0355, 0.0000]
For Example 19, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0034, 0.0215, 0.0116, 0.4145, 0.1839, 0.1392, 0.0482, 0.4022, 0.0932, 0.0017, 0.0382, 0.2798, 0.0459, 0.2835, 1.1398, 0.8965, 0.0002, 0.1903, 0.1140, 0.1775, 0.0012, 0.0000, 0.0538, 0.2361, 0.0008, 0.5908, 0.2207, 0.0579, 0.1019, 0.5484, 0.0166, 0.0281]
For Example 20, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0019, 0.0077, 0.0094, 0.1409, 0.1154, 0.0956, 0.0104, 0.0011, 0.0000, 0.0000, 0.0279, 0.0009, 0.1122, 0.0116, 0.0134, 0.0266, 0.0052, 0.0019, 0.0000, 0.0114, 0.0049, 0.0056, 0.0137, 0.0016, 0.0329, 0.0000, 0.0450, 0.0029, 0.0056, 0.0006, 0.0020, 0.0004]
For Example 21, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0039, 0.0117, 0.0089, 0.0041, 0.1894, 0.0979, 0.0012, 0.1205, 0.0380, 0.0372, 0.1527, 0.0991, 0.3660, 0.0008, 0.1649, 0.0980, 0.0045, 0.0310, 0.0081, 0.0075, 0.1584, 0.0081, 0.3150, 0.0031, 0.0010, 0.0301, 0.0081, 0.0407, 0.0000, 0.0011, 0.0011, 0.0000]
For Example 22, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0012, 0.0039, 0.0783, 0.1104, 0.0001, 0.0000, 0.0033, 0.1140, 0.1277, 0.3507, 0.0198, 0.1410, 0.1332, 0.0722, 0.0220, 0.0544, 0.0000, 0.0833, 0.0073, 0.0055, 0.0195, 0.0214, 0.0134, 0.0610, 0.0000, 0.0128, 0.0043, 0.0128, 0.0015, 0.0043, 0.0070, 0.0015]
For Example 23, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0097, 0.0297, 0.0089, 1.2293, 0.3771, 0.1127, 0.1288, 0.6155, 0.0797, 0.1026, 0.0208, 0.0199, 0.0423, 0.0991, 0.0000, 0.0053, 0.0181, 0.3430, 0.1046, 0.0085, 0.0063, 0.0083, 0.0725, 0.0224, 0.0850, 0.0213, 0.0757, 0.0267, 0.0303, 0.0941, 0.0140, 0.0071]
For Example 24, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0065, 0.0652, 0.0152, 0.5544, 0.2375, 0.2514, 0.5918, 0.8458, 0.5508, 0.0040, 0.1333, 0.0375, 0.0014, 0.0195, 0.0166, 0.0260, 0.0941, 0.0000, 0.0000, 0.0323, 0.2108, 0.0223, 0.0147, 0.1194, 0.0025, 0.0049, 0.0043, 0.0100, 0.0551, 0.0295, 0.0164, 0.0233]
For Example 25, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0035, 0.0067, 0.0049, 0.3136, 0.2697, 0.0026, 0.0975, 0.5772, 0.0828, 0.0639, 0.2512, 0.0079, 0.0529, 0.0184, 0.0195, 0.0587, 0.2718, 0.0282, 0.0261, 0.0074, 0.0118, 0.0489, 0.1346, 0.0144, 0.0716, 0.0000, 0.0266, 0.0153, 0.0089, 0.0016, 0.0338, 0.0000]
